country,incomeperperson,alcconsumption,armedforcesrate,breastcancerper100th,co2emissions,femaleemployrate,hivrate,internetuserate,lifeexpectancy,oilperperson,polityscore,relectricperperson,suicideper100th,employrate,urbanrate
Afghanistan,,0.03,0.57,26.8,75944000.0,25.6,,3.65,48.67,,0.0,,6.68,55.7,24.04
Albania,1915.0,7.29,1.02,57.4,223747333.33,42.1,,44.99,76.92,,9.0,636.34,7.7,51.4,46.72
Algeria,2231.99,0.69,2.31,23.5,2932108666.67,31.7,0.1,12.5,73.13,0.42,2.0,590.51,4.85,50.5,65.22
Andorra,21943.34,10.17,,,,,,81.0,,,,,5.36,,88.92
Angola,1381.0,5.57,1.46,23.1,248358000.0,69.4,2.0,10.0,51.09,,-2.0,173.0,14.55,75.7,56.7
Antigua and Barbuda,11894.46,8.17,,,16225000.0,,,80.65,,,,,2.16,,30.46
Argentina,10749.42,9.35,0.56,73.9,5872119000.0,45.9,0.5,36.0,75.9,0.64,8.0,768.43,7.77,58.4,92.0
Armenia,1326.74,13.66,2.62,51.6,51219666.67,34.2,0.1,44.0,74.24,,5.0,603.76,3.74,40.1,63.86
Aruba,,,,,35871000.0,,,41.8,75.25,,,,,,46.78
Australia,25249.99,10.21,0.49,83.2,12970092666.67,54.6,0.1,75.9,81.91,1.91,10.0,2825.39,8.47,61.5,88.74
Austria,26692.98,12.4,0.82,70.5,4466084333.33,49.7,0.3,72.73,80.85,1.55,10.0,2068.12,13.09,57.1,67.16
Azerbaijan,2344.9,13.34,1.98,31.5,511107666.67,56.2,0.1,46.68,70.74,0.36,-7.0,921.56,1.38,60.9,51.92
Bahamas,19630.54,8.65,0.55,54.4,137555000.0,60.7,3.1,42.98,75.62,,,,3.37,66.6,83.7
Bahrain,12505.21,4.19,5.23,40.2,503994333.33,30.2,,54.99,75.06,,-7.0,7314.36,4.41,60.4,88.52
Bangladesh,558.06,0.17,0.29,16.6,598774000.0,53.6,0.06,3.7,68.94,0.03,5.0,68.12,14.54,68.1,27.14
Barbados,9243.59,6.42,0.66,62.5,36160666.67,60.3,1.4,70.03,76.84,,,,3.11,66.9,39.84
Belarus,2737.67,18.85,3.71,36.0,999874333.33,48.6,0.3,32.05,70.35,0.69,-7.0,614.91,26.87,53.4,73.46
Belgium,24496.05,10.41,0.82,92.0,10897025333.33,41.7,0.2,73.73,80.01,,8.0,1920.96,15.95,48.6,97.36
Belize,3545.65,5.92,0.76,29.8,14058000.0,38.8,2.3,12.65,76.07,,,,9.39,56.8,51.7
Benin,377.04,2.08,0.22,28.1,37950000.0,58.2,1.2,3.13,56.08,,7.0,38.22,6.06,71.6,41.2
