country,incomeperperson,alcconsumption,armedforcesrate,breastcancerper100th,co2emissions,femaleemployrate,hivrate,internetuserate,lifeexpectancy,oilperperson,polityscore,relectricperperson,suicideper100th,employrate,urbanrate
Bermuda,62682.15,,,,20331666.67,,,84.65,,,,,,,100.0
Bhutan,1324.19,0.54,,21.8,6024333.33,39.9,0.2,13.6,67.19,,3.0,,15.54,58.4,34.48
Bolivia,1232.79,5.78,1.88,24.7,254939666.67,61.6,0.2,20.0,66.62,,7.0,213.06,2.03,70.4,65.58
Bosnia and Herzegovina,2183.34,9.6,0.46,58.9,236419333.33,34.9,,52.0,75.67,,,927.12,11.84,41.2,47.44
Botswana,4189.44,6.97,1.13,33.4,78943333.33,38.7,24.8,6.0,53.18,,8.0,454.8,11.21,46.0,59.58
Brazil,4699.41,10.08,0.72,46.0,9580226333.33,53.3,0.45,40.65,73.49,0.6,8.0,498.17,4.78,64.5,85.58
Brunei,17092.46,1.86,4.68,20.6,254206333.33,55.5,,49.99,78.01,,,3067.5,1.37,63.8,74.82
Bulgaria,2549.56,11.4,2.04,46.2,3157700333.33,42.1,0.1,45.99,73.37,0.56,9.0,1380.87,9.22,47.3,71.1
Burkina Faso,276.2,7.32,0.16,30.6,20628666.67,75.8,1.2,1.4,55.44,,0.0,,8.2,81.3,19.56
Burundi,115.31,9.65,1.16,19.5,8092333.33,83.3,3.3,2.1,50.41,,6.0,,14.68,83.2,10.4
Cambodia,557.95,4.71,2.54,21.5,45411666.67,73.4,0.5,1.26,63.13,,2.0,51.58,4.96,78.9,21.56
Cameroon,713.64,7.9,0.31,29.7,125172666.67,49.0,5.3,4.0,51.61,,-4.0,59.55,7.21,59.1,56.76
Canada,25575.35,10.2,0.34,84.3,24979045666.67,58.9,0.2,81.34,81.01,3.01,10.0,4772.37,10.1,63.5,80.4
Cape Verde,1959.84,4.98,0.48,28.1,5214000.0,43.6,,30.0,74.16,,,,5.63,55.9,59.62
Cayman Islands,,,,,8968666.67,,,66.0,,,,,,,100.0
Central African Rep.,239.52,3.17,0.15,16.5,8338000.0,62.9,4.7,2.3,48.4,,-1.0,,13.55,71.3,38.58
Chad,275.88,4.39,0.84,16.5,7608333.33,66.3,3.4,1.7,49.55,,-2.0,,8.28,68.9,26.68
Chile,6334.11,8.81,1.34,43.9,1839471333.33,35.5,0.4,45.0,79.12,0.86,10.0,532.52,10.17,51.0,88.44
China,2425.47,5.56,0.37,18.7,101386215333.33,68.9,0.1,34.38,73.46,0.32,-7.0,331.38,16.91,72.8,43.1
Colombia,3233.42,6.59,2.22,30.3,2269806000.0,54.9,0.5,36.5,73.7,0.24,7.0,404.59,4.91,63.2,74.5
Comoros,336.37,0.28,,19.5,2368666.67,59.3,0.1,5.1,61.06,,9.0,,4.75,68.0,28.08
"Congo, Dem. Rep.",103.78,3.39,0.63,10.3,169180000.0,50.4,,0.72,48.4,,5.0,30.71,14.71,66.2,33.96
"Congo, Rep.",1253.29,4.46,0.77,20.6,46306333.33,52.3,3.4,5.0,57.38,,-4.0,56.37,9.87,64.2,61.34
Cook Islands,,3.23,,,1045000.0,,,,,,,,4.37,,
Costa Rica,5188.9,5.81,0.47,30.9,148470666.67,40.1,0.3,36.5,79.31,,10.0,798.34,6.6,58.6,63.26
Cote d'Ivoire,591.07,6.47,0.23,26.0,228748666.67,38.1,3.4,2.6,55.38,,0.0,70.39,20.32,59.9,48.78
Croatia,6338.49,15.0,1.1,62.1,310024000.0,39.4,0.06,60.12,76.64,,9.0,1494.41,14.78,47.1,57.28
Cuba,4495.05,5.12,1.5,31.2,1286670000.0,43.7,0.1,15.9,79.14,,-7.0,528.79,10.57,56.0,75.66
Cyprus,15313.86,8.84,2.45,67.2,183535000.0,51.3,,53.02,79.59,,10.0,2123.76,2.21,59.1,69.9
Czech Rep.,7381.31,16.47,0.52,58.4,1776016000.0,47.6,0.06,68.64,77.69,0.88,8.0,1438.78,12.37,56.0,73.5
Denmark,30532.28,12.02,1.01,88.7,3503877666.67,58.1,0.2,88.77,78.83,1.57,10.0,1884.3,8.97,63.1,86.68
Djibouti,895.32,1.87,3.45,19.5,14054333.33,,2.5,6.5,57.94,,2.0,,4.99,,87.3
Dominica,6147.78,8.68,,,2401666.67,,,47.28,,,,,5.84,,73.92
Dominican Rep.,4049.17,6.28,1.47,36.1,446365333.33,40.5,0.9,39.53,73.4,,8.0,457.64,6.52,52.7,69.02
Ecuador,1728.02,9.43,1.02,23.5,692039333.33,45.5,0.4,29.0,75.63,0.73,5.0,314.83,8.5,59.7,65.58
Egypt,1975.55,0.32,3.29,24.2,3341129000.0,18.2,0.06,26.74,73.24,0.45,-3.0,536.76,1.8,42.4,42.72
El Salvador,2557.43,3.99,1.32,13.6,143586666.67,44.8,0.8,15.9,72.2,,8.0,256.1,7.3,58.2,60.7
Equatorial Guinea,8654.54,6.12,0.4,16.5,26125000.0,39.6,5.0,6.0,51.09,,-5.0,,10.13,61.7,39.38
Eritrea,131.8,1.64,9.82,19.5,7315000.0,51.7,0.8,5.4,61.6,,-7.0,20.29,8.91,64.9,20.72
Estonia,6238.54,17.24,1.0,47.7,277170666.67,52.1,1.2,74.16,74.83,,9.0,1411.23,16.96,56.5,69.46
Ethiopia,220.89,4.1,0.36,24.7,119958666.67,73.0,,0.75,59.27,,1.0,15.06,10.07,80.7,17.0
Faeroe Islands,,,,,21351000.0,,,75.2,,,,,,,41.42
Fiji,2230.68,2.76,1.18,31.2,35717000.0,36.8,0.1,14.83,69.25,,-4.0,,3.94,56.4,52.36
Finland,27110.73,13.1,1.18,84.7,2420300666.67,53.4,0.1,86.9,79.98,1.94,10.0,4036.95,16.23,57.2,63.3
France,22878.47,12.48,1.23,91.9,33341634333.33,45.6,0.4,77.5,81.54,1.33,9.0,2539.75,14.09,51.2,77.36
French Polynesia,,,,34.2,19800000.0,,,48.96,75.13,,,,,,51.64
Gabon,4180.77,9.46,1.02,18.2,170804333.33,52.6,5.2,7.23,62.7,,3.0,537.1,7.75,59.0,85.04
Gambia,354.6,3.58,0.13,6.4,7355333.33,65.7,2.0,9.2,58.49,,-5.0,,6.45,71.7,56.42
Georgia,1258.76,6.66,1.45,51.8,81191000.0,48.5,0.1,26.3,73.74,,6.0,617.93,1.57,55.6,52.74
Germany,25306.19,12.14,0.58,79.8,41229554666.67,46.8,0.1,82.53,80.41,1.4,10.0,1693.89,9.21,53.5,73.64
Ghana,358.98,3.11,0.13,28.1,188268666.67,64.1,1.8,9.55,64.23,,8.0,97.25,6.29,65.1,50.02
Gibraltar,,,,,7388333.33,,,65.0,,,,0.0,,,
Greece,13577.88,11.01,3.09,51.6,2712915333.33,37.8,0.1,44.57,79.92,1.63,10.0,1690.72,2.82,49.6,61.0
Greenland,20751.89,,,,23635333.33,,,63.85,,,,,,,83.52
Grenada,5330.4,10.71,,,4774000.0,,,33.62,75.96,,,,3.58,,30.84
Guadeloupe,,,,,45778333.33,38.3,,,79.84,,,,,43.1,
Guam,,,,50.4,,,,,76.14,,,,,,93.16
Guatemala,1860.75,7.1,0.66,25.9,242594000.0,44.0,0.8,10.5,71.17,,8.0,187.32,2.23,62.7,48.58
Guinea,411.5,0.79,0.4,15.3,46684000.0,77.6,1.3,1.0,54.1,,-1.0,,7.44,81.5,34.44
Guinea-Bissau,161.32,3.9,0.93,28.1,7813666.67,49.9,2.5,2.45,48.13,,6.0,,7.56,65.9,29.84
Guyana,1200.65,8.7,0.88,29.5,69329333.33,41.8,1.2,29.88,69.93,,6.0,,35.75,58.9,28.38
Haiti,371.42,5.92,0.0,4.4,40857666.67,35.4,1.9,8.37,62.1,,5.0,9.19,1.52,55.9,46.84
Honduras,1392.41,4.43,0.71,25.9,131703000.0,34.2,0.8,11.09,73.13,,7.0,278.74,7.06,56.3,47.88
"Hong Kong, China",35536.07,,,,1026813333.33,51.6,,71.85,82.76,2.28,,1468.64,,59.0,100.0
Hungary,5634.0,16.12,0.87,63.0,4244009000.0,40.3,0.06,65.16,74.41,0.67,10.0,1154.18,20.16,47.3,67.5
Iceland,33945.31,7.38,0.07,90.0,92770333.33,69.6,0.3,95.64,81.8,,,2826.04,11.43,73.6,92.26
India,786.7,2.69,0.57,19.1,30391317000.0,32.3,0.3,7.5,65.44,0.13,9.0,110.71,18.58,55.4,29.54
Indonesia,1143.83,0.56,0.52,26.1,6710201666.67,44.1,0.2,9.9,69.37,0.25,8.0,221.96,11.4,61.5,51.46
Iran,2161.55,1.03,2.03,17.1,9183548000.0,26.9,0.2,13.0,72.97,1.16,-7.0,753.21,6.02,47.8,68.46
Iraq,736.27,0.47,7.74,31.7,2421917666.67,12.4,,2.47,69.04,,0.0,0.0,17.03,37.4,66.6
Ireland,27595.09,14.92,0.45,74.9,1633778666.67,51.0,0.2,69.77,80.56,1.7,10.0,2051.8,10.37,59.9,61.34
Israel,22275.75,2.52,5.87,90.8,1561079666.67,46.4,0.2,65.39,81.62,,10.0,2342.44,5.93,51.3,91.66
Italy,18982.27,9.72,1.73,74.4,19000454000.0,35.8,0.3,53.74,81.86,1.21,10.0,1176.39,4.93,46.4,68.08
Jamaica,3665.35,5.17,0.24,43.5,340090666.67,47.5,1.7,26.48,73.13,,9.0,368.43,4.42,58.2,53.3
Japan,39309.48,7.79,0.36,32.7,46092214666.67,46.2,0.06,77.64,83.39,1.59,10.0,2257.57,18.95,57.3,66.48
Jordan,2534.0,0.65,5.91,33.0,377303666.67,13.0,,38.88,73.4,,-3.0,719.48,0.2,38.9,78.42
Kazakhstan,2481.72,11.1,0.96,38.7,2484925666.67,58.2,0.1,33.38,67.02,0.78,-6.0,484.1,25.4,63.7,57.94
Kenya,468.7,3.88,0.16,25.2,283583666.67,66.6,6.3,25.9,57.13,,7.0,41.18,10.94,73.2,21.6
Kiribati,760.26,2.7,,,1111000.0,,,8.96,,,,,,,43.84
"Korea, Dem. Rep.",,,10.64,20.4,5896388666.67,56.0,,,68.85,,-9.0,0.0,4.74,64.6,62.68
"Korea, Rep.",16372.5,19.15,2.83,20.4,9666891666.67,48.0,0.06,82.52,80.64,2.09,8.0,1142.31,22.4,58.9,81.46
Kuwait,,0.1,1.61,31.8,1712755000.0,42.0,,38.26,74.58,6.47,-7.0,8362.57,1.5,65.7,98.36
Kyrgyzstan,372.73,4.72,0.84,23.0,87970666.67,48.8,0.3,19.58,67.71,,1.0,428.31,9.88,58.9,36.28
Laos,554.88,6.99,4.3,10.9,21332666.67,78.1,0.2,7.0,67.48,,-7.0,,26.22,78.2,30.88
Latvia,5011.22,13.45,1.32,44.3,125755666.67,50.7,0.7,71.51,73.34,,8.0,904.67,20.37,56.8,68.12
Lebanon,6746.61,2.3,5.41,52.5,428006333.33,22.3,0.1,31.0,72.64,,7.0,913.85,5.84,46.0,86.96
Lesotho,495.73,5.56,0.22,13.1,,49.8,23.6,3.86,48.2,,8.0,,7.86,56.3,25.46
Liberia,155.03,5.07,0.13,18.8,38991333.33,53.2,1.5,7.0,56.79,,6.0,,7.18,66.0,60.14
Libya,7885.47,0.1,3.31,23.4,1414031666.67,23.2,,14.0,74.79,,-7.0,846.01,4.67,48.6,77.54
Liechtenstein,81647.1,,,,,,,80.0,,,,,,,14.32
Lithuania,5332.24,16.3,1.49,38.5,226255333.33,48.8,0.1,62.81,72.23,0.81,10.0,758.86,33.34,53.1,66.96
Luxembourg,52301.59,12.84,0.73,82.5,592012666.67,45.9,0.3,90.08,79.96,,,1566.11,12.41,53.5,82.44
"Macao, China",33923.31,,,,38397333.33,57.5,,56.76,80.93,,,,,63.6,100.0
"Macedonia, FYR",2221.19,8.94,2.1,52.1,168883000.0,26.8,,51.91,74.85,,9.0,,7.88,34.9,66.9
Madagascar,242.68,1.32,0.24,19.5,62777000.0,79.2,0.2,1.7,66.72,,0.0,,5.77,83.0,29.52
Malawi,184.14,1.44,0.11,10.5,28490000.0,69.0,11.0,2.26,54.21,,6.0,,10.17,71.8,18.8
Malaysia,5184.71,0.87,1.14,30.8,2670950333.33,43.1,0.5,56.3,74.22,0.89,6.0,767.97,8.21,60.5,70.36
Maldives,4038.86,,,,8231666.67,42.1,0.06,28.29,76.85,,,,22.35,56.9,37.86
Mali,269.89,0.99,0.33,18.2,17515666.67,34.4,1.0,2.7,51.44,,7.0,,8.26,45.7,32.18
Malta,11066.78,4.1,1.14,76.1,73784333.33,30.1,0.1,63.08,79.63,,,1598.67,4.55,46.8,94.26
Marshall Islands,2437.28,,,,1206333.33,,,,,,,,7.2,,71.08
Martinique,,,,,56162333.33,38.2,,,80.5,,,,,42.5,
Mauritania,609.13,0.11,1.55,28.1,56818666.67,45.3,0.7,3.0,58.58,,-2.0,,6.88,46.9,41.0
Mauritius,5182.14,3.53,0.35,31.6,59473333.33,36.3,1.0,28.73,73.37,,10.0,,8.08,54.5,42.48
Mexico,6105.28,8.55,0.61,26.4,13304503666.67,39.6,0.3,31.05,76.95,0.77,8.0,431.63,4.29,57.9,77.2
"Micronesia, Fed. Sts.",2146.36,5.25,,,,,,20.01,68.98,,,,4.76,,22.54
Moldova,595.87,23.01,0.54,49.6,149904333.33,43.6,0.4,40.12,69.32,,8.0,304.94,15.54,44.3,41.76
Monaco,105147.44,,,,,,,,,,,,11.15,,100.0
Mongolia,772.93,3.41,1.21,6.6,300934333.33,50.9,0.06,12.9,68.5,,10.0,303.81,13.09,52.1,57.18
Montenegro,2222.34,,,,,,,51.96,74.57,,9.0,,,,60.18
Morocco,1844.35,1.24,2.09,22.5,953051000.0,22.2,0.1,49.0,72.15,,-6.0,209.09,2.11,46.2,56.02
Mozambique,389.76,2.27,0.1,3.9,107096000.0,82.2,11.5,4.17,50.24,,5.0,31.39,10.55,77.0,36.84
Myanmar,,0.58,1.91,20.2,322960000.0,66.5,0.6,,65.19,,-6.0,38.01,10.11,74.7,32.58
Namibia,2667.25,12.09,1.97,24.7,26209333.33,37.3,13.1,6.5,62.47,,6.0,0.0,8.02,42.0,36.84
Nauru,,4.81,,,4814333.33,,,,,,,,4.08,,
Nepal,268.26,2.42,1.01,21.8,52657000.0,54.6,0.4,7.93,68.8,,6.0,31.54,11.66,61.8,17.24
Netherlands,26551.84,9.75,0.53,86.7,9483023000.0,54.3,0.2,90.7,80.73,3.0,10.0,1490.06,8.16,61.3,81.82
Netherlands Antilles,,,,,102538333.33,47.1,,,76.65,,,0.0,,53.5,92.68
New Caledonia,,,,,90269666.67,,,,76.52,,,,,,64.78
New Zealand,14778.16,9.99,0.39,91.9,1321661000.0,58.3,0.1,83.0,80.65,1.58,10.0,2993.09,12.18,65.0,86.56
Nicaragua,948.36,5.21,0.53,23.9,109681000.0,36.0,0.2,10.0,74.04,,9.0,126.83,12.12,58.8,56.74
Niger,180.08,0.34,0.22,23.3,30800000.0,38.0,0.8,0.83,54.68,,-3.0,,9.26,60.4,16.54
Nigeria,544.6,12.72,0.33,31.2,2386820333.33,36.5,3.6,28.43,51.88,,4.0,74.06,7.63,50.9,48.36
Niue,,8.69,,,132000.0,,,,,,,,4.22,,
Norway,39972.35,8.35,0.72,74.8,1962704333.33,60.9,0.1,93.28,81.1,2.19,10.0,7432.13,10.82,65.0,77.48
Oman,11191.81,0.92,4.47,13.2,487993000.0,22.6,0.1,61.99,72.97,,-8.0,2124.61,3.72,50.7,71.62
Pakistan,668.55,0.05,1.65,50.1,2329308666.67,19.0,0.1,16.78,65.44,0.12,5.0,186.93,12.87,51.0,36.16
Palau,6243.57,9.86,,,1723333.33,,,,,,,,5.55,,80.46
Panama,5900.62,7.3,0.75,29.0,170404666.67,43.4,0.9,42.75,76.13,,9.0,500.29,6.11,59.8,73.2
Papua New Guinea,744.24,3.64,0.11,17.3,88337333.33,68.9,0.9,1.28,62.79,,4.0,,11.96,70.4,12.54
Paraguay,1621.18,7.91,0.89,34.4,95256333.33,65.3,0.3,19.8,72.48,,8.0,528.65,4.41,73.1,60.3
Peru,3180.43,6.53,1.44,35.1,1146277000.0,59.8,0.4,34.3,73.99,0.29,9.0,239.39,1.66,68.3,71.4
Philippines,1383.4,6.08,0.39,46.6,2008116000.0,46.8,0.06,25.0,68.75,0.14,8.0,179.62,1.92,61.0,64.92
Poland,6575.75,14.43,0.81,50.3,23053598333.33,42.1,0.1,62.47,76.13,0.69,10.0,704.4,13.64,48.7,61.32
Portugal,11744.83,13.89,1.62,55.5,1865922666.67,50.6,0.6,51.28,79.5,1.18,10.0,1259.39,8.19,57.6,59.46
Puerto Rico,15822.11,,,50.4,,34.6,,42.69,79.16,,,,,42.4,98.32
Qatar,33931.83,1.29,1.33,33.3,811965000.0,39.6,0.06,81.59,78.37,4.21,-10.0,4759.45,2.52,76.0,95.64
Reunion,,,,,55146666.67,37.9,,,77.65,,,,,44.2,
Romania,2636.79,16.15,1.54,44.3,7104137333.33,43.8,0.1,40.02,73.98,0.42,9.0,467.57,10.06,49.5,54.24
Russia,2923.14,16.23,1.94,38.8,23404568000.0,53.8,1.0,43.37,68.82,1.03,4.0,825.94,27.87,58.8,72.84
Rwanda,338.27,9.99,0.73,8.8,20152000.0,80.5,2.9,13.0,55.44,,-3.0,,13.12,79.8,18.34
Saint Kitts and Nevis,9175.8,10.62,,,2251333.33,,,76.59,,,,,,,32.32
Saint Lucia,5248.58,12.05,,,7601000.0,,,40.06,74.64,,,,8.21,,27.84
Saint Vincent and the Grenadines,4885.05,4.99,,,3659333.33,,,,72.28,,,,9.59,,47.04
Samoa,1784.07,4.51,,34.2,4352333.33,,,6.97,72.44,,,,5.54,,23.0
San Marino,31993.2,,,,,,,,,,,,6.09,,94.22
Sao Tome and Principe,,8.45,,,2335666.67,,,18.8,64.67,,,,10.49,,60.56
Saudi Arabia,9425.33,0.34,2.62,24.7,7861553333.33,17.7,,41.0,73.91,4.57,-10.0,3433.93,6.4,51.2,82.42
Senegal,561.71,0.51,0.36,18.4,127108666.67,56.9,0.9,16.0,59.32,,7.0,55.79,6.81,65.6,42.38
Serbia,1194.71,12.21,,,,,0.1,43.06,74.52,,8.0,1387.98,13.72,,52.04
Serbia and Montenegro,,,,58.4,,41.1,,,,,,,14.47,48.7,
Seychelles,8614.12,12.11,,,9155666.67,,,40.77,,,,,9.51,,54.34
Sierra Leone,268.33,9.48,0.52,28.1,29758666.67,63.4,1.6,,47.79,,7.0,,11.98,63.8,37.76
Singapore,32535.83,1.54,6.39,48.7,1548044666.67,51.3,0.1,71.13,81.13,12.23,-2.0,1464.84,9.13,62.4,100.0
Slovak Republic,8445.53,13.31,0.63,48.0,590674333.33,45.3,0.06,79.89,75.45,0.68,10.0,830.7,10.65,53.4,56.56
Slovenia,12729.45,14.94,1.16,58.9,214368000.0,49.4,0.06,69.34,79.34,,10.0,1585.17,19.42,55.9,48.6
Solomon Islands,1144.1,1.37,,29.8,5210333.33,51.3,,5.0,67.85,,8.0,,4.48,65.0,17.96
Somalia,,0.5,,19.5,16379000.0,50.7,0.7,,51.22,,0.0,,29.86,66.0,36.52
South Africa,3745.65,10.16,0.33,35.0,14609848000.0,34.3,17.8,12.33,52.8,0.5,9.0,920.14,15.71,41.1,60.74
Spain,15461.76,11.83,0.98,50.9,10822529666.67,41.7,0.4,65.81,81.4,1.62,10.0,1779.5,5.89,52.5,77.12
Sri Lanka,1295.74,0.81,2.57,23.6,253854333.33,39.2,0.06,12.0,74.94,,6.0,161.09,28.1,55.1,15.1
Sudan,523.95,2.56,0.97,22.5,225019666.67,27.9,1.1,,61.45,,-4.0,50.89,9.71,47.3,43.44
Suriname,2668.02,6.56,1.06,30.0,86317000.0,30.4,1.0,31.57,70.56,,,,20.75,44.7,74.92
Swaziland,1810.23,5.05,,12.3,22704000.0,47.1,25.9,9.01,48.72,,-9.0,,12.87,50.9,24.94
Sweden,32292.48,9.5,0.35,87.8,4286590000.0,56.7,0.1,90.02,81.44,1.55,10.0,4304.51,11.12,60.7,84.54
Switzerland,37662.75,11.41,0.52,81.7,2406741333.33,57.0,0.4,82.17,82.34,1.49,10.0,2361.03,13.24,64.3,73.48
Syria,1525.78,1.49,5.96,44.8,1436893333.33,16.7,,20.66,75.85,,-7.0,815.03,0.52,44.8,54.22
Taiwan,,,,,5248815000.0,47.1,,,,2.01,10.0,1831.73,,54.5,
Tajikistan,279.18,3.39,0.6,13.2,104170000.0,50.1,0.2,11.55,67.53,,-3.0,405.78,2.65,54.6,26.46
Tanzania,456.39,7.86,0.13,21.1,100782000.0,76.1,5.6,11.0,58.2,,-1.0,38.63,12.41,78.2,25.52
Thailand,2712.52,7.08,1.09,16.6,4200940333.33,65.0,1.3,21.2,74.13,0.73,4.0,439.59,9.85,72.0,33.32
Timor-Leste,369.57,0.74,0.23,,850666.67,54.7,,0.21,62.48,,7.0,,9.63,67.3,27.3
Togo,285.22,1.92,0.34,28.1,32233666.67,48.4,3.2,5.38,57.06,,-4.0,66.24,6.37,63.9,42.0
Tonga,2025.28,3.92,,,2907666.67,,,12.01,72.32,,,,4.53,,24.78
Trinidad and Tobago,10480.82,6.16,0.58,51.1,,50.5,1.5,48.52,70.12,,10.0,2261.32,14.55,61.5,13.22
Tunisia,3164.93,1.05,1.27,19.6,525891666.67,21.4,0.06,36.56,74.52,,-4.0,325.84,3.15,41.6,66.5
Turkey,5348.6,3.02,2.38,22.0,5675629666.67,21.9,0.06,39.82,73.98,0.39,7.0,550.7,3.56,42.8,68.68
Turkmenistan,2062.13,5.0,0.93,17.9,531303666.67,53.9,,2.2,64.99,1.11,-9.0,351.17,12.22,58.5,48.62
Tuvalu,1714.94,2.14,,,,,,25.0,,,,,7.93,,
Uganda,377.42,16.4,0.34,18.3,49793333.33,80.0,6.5,12.5,54.12,,-1.0,,12.29,83.2,12.98
Ukraine,1036.83,17.47,0.93,39.9,5584766000.0,49.4,1.1,44.59,68.49,0.26,7.0,673.58,18.95,54.4,67.98
United Arab Emirates,21087.39,0.52,1.81,24.1,2315698000.0,37.3,,78.0,76.55,4.3,-8.0,11154.76,1.39,75.2,77.88
United Kingdom,28033.49,13.24,0.51,87.2,72524250333.33,53.1,0.2,84.73,80.17,1.19,10.0,1933.95,6.01,59.3,89.94
United States,37491.18,9.7,0.97,101.1,334220872333.33,56.0,0.6,74.25,78.53,2.74,10.0,4542.85,9.93,62.3,81.7
Uruguay,9106.33,8.99,1.58,83.1,275744333.33,46.0,0.5,47.87,77.01,,10.0,823.82,14.54,57.5,92.3
Uzbekistan,952.83,3.61,0.71,17.3,1718339333.33,52.6,0.1,19.45,68.29,0.18,-9.0,261.43,5.21,57.5,36.82
Vanuatu,1543.96,0.96,,24.0,2977333.33,,,7.99,71.02,,,,4.98,,24.76
Venezuela,5528.36,7.6,0.9,34.3,5418886000.0,45.8,,35.85,74.4,1.21,-3.0,969.0,4.12,59.9,93.32
Vietnam,722.81,3.91,1.09,16.2,1425435000.0,67.6,0.4,27.85,75.18,,-7.0,302.73,11.65,71.0,27.84
West Bank and Gaza,,,5.94,,14241333.33,11.3,,36.42,72.83,,,,,32.0,71.9
"Yemen, Rep.",610.36,0.2,2.32,35.1,234864666.67,20.3,,12.35,65.49,,-2.0,130.06,6.27,39.0,30.64
Zambia,432.23,3.56,0.34,13.0,132025666.67,53.5,13.5,10.12,49.03,,7.0,168.62,12.02,61.0,35.42
Zimbabwe,320.77,4.96,1.03,19.0,590219666.67,58.1,14.3,11.5,51.38,,1.0,297.88,13.91,66.8,37.34
