lifeexpectancy,polityscore,employrate,urbanrate,suicideper100th,hivrate,demoscorecat
48.673,0.0,55.7000007629394,24.04,6.68438529968262,0.4,1
76.918,9.0,51.4000015258789,46.72,7.69932985305786,0.4,3
73.131,2.0,50.5,65.22,4.8487696647644,0.1,2
73.131,6.0,58.69999885559085,88.92,5.36217880249023,0.4,3
51.093,-2.0,75.6999969482422,56.7,14.5546770095825,2.0,1
73.131,6.0,58.69999885559085,30.46,2.16184329986572,0.4,3
75.901,8.0,58.4000015258789,92.0,7.765584,0.5,3
74.241,5.0,40.0999984741211,63.86,3.74158787727356,0.1,2
75.246,6.0,58.69999885559085,46.78,8.2628927230835,0.4,3
81.907,10.0,61.5,88.74,8.4700301251191,0.1,3
80.854,10.0,57.0999984741211,67.16,13.09437,0.3,3
70.739,-7.0,60.9000015258789,51.92,1.38096463680267,0.1,0
75.62,6.0,66.5999984741211,83.7,3.3744158744812,3.1,3
75.057,-7.0,60.4000015258789,88.52,4.41499042510986,0.4,0
68.944,5.0,68.0999984741211,27.14,14.5383567810059,0.06,2
76.835,6.0,66.9000015258789,39.84,3.10860252380371,1.4,3
70.349,-7.0,53.4000015258789,73.46,26.8746902951384,0.3,0
80.009,8.0,48.5999984741211,97.36,15.95385,0.2,3
76.072,6.0,56.7999992370606,51.7,9.38879585266113,2.3,3
56.081,7.0,71.5999984741211,41.2,6.05773973464966,1.2,3
73.131,6.0,58.69999885559085,100.0,8.2628927230835,0.4,3
67.185,3.0,58.4000015258789,34.48,15.5426025390625,0.2,2
66.618,7.0,70.4000015258789,65.58,2.0341784954071,0.2,3
75.67,6.0,41.2000007629394,47.44,11.8367156982422,0.4,3
53.183,8.0,46.0,59.58,11.2139701843262,24.8,3
73.488,8.0,64.5,85.58,4.777007,0.45,3
78.005,6.0,63.7999992370606,74.82,1.37000155448914,0.4,3
73.371,9.0,47.2999992370606,71.1,9.216544,0.1,3
55.439,0.0,81.3000030517578,19.56,8.20422172546387,1.2,1
50.411,6.0,83.1999969482422,10.4,14.6809358596802,3.3,3
63.125,2.0,78.9000015258789,21.56,4.96107149124146,0.5,2
51.61,-4.0,59.0999984741211,56.76,7.21422052383423,5.3,1
81.012,10.0,63.5,80.4,10.10099,0.2,3
74.156,6.0,55.9000015258789,59.62,5.63333368301392,0.4,3
73.131,6.0,58.69999885559085,100.0,8.2628927230835,0.4,3
48.398,-1.0,71.3000030517578,38.58,13.5484199523926,4.7,1
49.553,-2.0,68.9000015258789,26.68,8.28307056427002,3.4,1
79.12,10.0,51.0,88.44,10.17187,0.4,3
73.456,-7.0,72.8000030517578,43.1,16.9132480621338,0.1,0
